student_id,subject,topic,score,time_spent,attempts,learning_style,quiz_performance,cluster,level
133,DSA,Queue,93,60,2,Visual,good,0,Beginner
134,CN,TCP/IP,54,92,1,Audio-Visual,average,1,Intermediate
135,CN,TCP/IP,60,40,1,Visual,average,2,Advanced
136,DBMS,SQL,86,43,1,Visual,good,0,Beginner
137,DBMS,Joins,41,25,4,Visual,average,2,Advanced
138,Python,Functions,42,38,3,Kinesthetic,average,2,Advanced
139,Python,OOP,29,78,1,Kinesthetic,poor,1,Intermediate
140,Python,Loops,92,16,4,Visual,good,2,Advanced
141,DBMS,Normalization,77,33,2,Kinesthetic,good,2,Advanced
142,CN,TCP/IP,31,49,3,Visual,poor,1,Intermediate
143,DBMS,Joins,91,48,4,Audio-Visual,good,0,Beginner
144,DSA,Stack,71,53,5,Visual,good,0,Beginner
145,CN,OSI Model,94,38,4,Visual,good,0,Beginner
146,OS,Threads,54,82,3,Audio-Visual,average,1,Intermediate
147,DBMS,Normalization,82,50,1,Visual,good,0,Beginner
148,CN,OSI Model,55,46,1,Kinesthetic,average,2,Advanced
149,CN,OSI Model,48,78,1,Audio-Visual,average,1,Intermediate
150,OS,Threads,42,80,3,Kinesthetic,average,1,Intermediate
151,OS,Scheduling,76,62,1,Kinesthetic,good,0,Beginner
152,DSA,Queue,62,66,5,Kinesthetic,average,1,Intermediate
153,DSA,Arrays,58,44,2,Visual,average,2,Advanced
154,CN,OSI Model,77,63,2,Kinesthetic,good,0,Beginner
155,OS,Processes,65,39,4,Audio-Visual,average,2,Advanced
156,CN,OSI Model,76,50,4,Visual,good,0,Beginner
157,Python,Functions,51,61,2,Kinesthetic,average,1,Intermediate
158,Python,Loops,36,81,1,Visual,poor,1,Intermediate
159,DSA,Stack,72,69,3,Audio-Visual,good,0,Beginner
160,DSA,Linked List,60,60,3,Kinesthetic,average,1,Intermediate
161,Python,File Handling,60,43,4,Visual,average,2,Advanced
162,Python,File Handling,64,35,5,Kinesthetic,average,2,Advanced
163,CN,Routing,34,16,2,Audio-Visual,poor,2,Advanced
164,DBMS,Joins,56,55,3,Audio-Visual,average,1,Intermediate
165,Python,Functions,65,38,1,Audio-Visual,average,2,Advanced
166,DSA,Queue,67,63,2,Visual,average,0,Beginner
167,CN,TCP/IP,31,74,4,Audio-Visual,poor,1,Intermediate
168,Python,Functions,75,27,3,Visual,good,2,Advanced
169,OS,Scheduling,100,75,2,Visual,good,0,Beginner
170,OS,Processes,56,81,1,Kinesthetic,average,1,Intermediate
171,OS,Processes,43,49,3,Audio-Visual,average,2,Advanced
172,CN,Routing,35,35,4,Visual,poor,2,Advanced
173,DBMS,Joins,62,56,2,Audio-Visual,average,2,Advanced
174,CN,OSI Model,68,49,1,Kinesthetic,average,2,Advanced
175,CN,TCP/IP,57,56,1,Audio-Visual,average,1,Intermediate
176,OS,Threads,100,67,2,Visual,good,0,Beginner
177,CN,Routing,42,62,5,Audio-Visual,average,1,Intermediate
178,DSA,Queue,44,56,5,Visual,average,1,Intermediate
179,Python,Loops,27,93,2,Kinesthetic,poor,1,Intermediate
180,DBMS,Normalization,96,80,2,Visual,good,0,Beginner
181,DBMS,SQL,83,36,5,Audio-Visual,good,2,Advanced
182,Python,OOP,55,52,3,Kinesthetic,average,2,Advanced
183,Python,File Handling,45,78,3,Visual,average,1,Intermediate
184,CN,Routing,66,41,5,Kinesthetic,average,2,Advanced
185,DBMS,Normalization,64,60,3,Audio-Visual,average,0,Beginner
186,OS,Scheduling,54,50,5,Kinesthetic,average,2,Advanced
187,DSA,Stack,100,57,1,Visual,good,0,Beginner
188,Python,Functions,37,55,4,Audio-Visual,poor,1,Intermediate
189,OS,Processes,48,74,4,Visual,average,1,Intermediate
190,DSA,Stack,69,54,4,Audio-Visual,average,0,Beginner
191,DBMS,Joins,47,60,2,Kinesthetic,average,1,Intermediate
192,OS,Processes,41,47,2,Audio-Visual,average,2,Advanced
193,DSA,Queue,65,49,3,Kinesthetic,average,2,Advanced
194,Python,File Handling,63,72,2,Kinesthetic,average,1,Intermediate
195,CN,Routing,75,59,1,Audio-Visual,good,0,Beginner
196,DSA,Arrays,63,90,5,Visual,average,1,Intermediate
197,OS,Threads,42,76,4,Kinesthetic,average,1,Intermediate
198,Python,OOP,63,66,5,Visual,average,1,Intermediate
199,DBMS,Normalization,47,47,1,Audio-Visual,average,2,Advanced
200,CN,TCP/IP,49,54,5,Audio-Visual,average,1,Intermediate
201,DBMS,Joins,71,76,5,Visual,good,0,Beginner
202,OS,Threads,67,78,5,Visual,average,0,Beginner
203,OS,Threads,86,51,1,Visual,good,0,Beginner
204,DBMS,Normalization,64,28,2,Kinesthetic,average,2,Advanced
205,Python,File Handling,70,106,4,Kinesthetic,good,1,Intermediate
206,DSA,Queue,62,71,5,Audio-Visual,average,1,Intermediate
207,Python,Loops,57,33,2,Kinesthetic,average,2,Advanced
208,CN,OSI Model,70,44,2,Visual,good,2,Advanced
209,DBMS,SQL,62,40,4,Kinesthetic,average,2,Advanced
210,Python,OOP,80,53,2,Audio-Visual,good,0,Beginner
211,Python,File Handling,58,83,2,Visual,average,1,Intermediate
212,DSA,Linked List,64,59,5,Audio-Visual,average,0,Beginner
213,OS,Scheduling,72,73,4,Kinesthetic,good,0,Beginner
214,DBMS,Joins,18,45,4,Audio-Visual,poor,1,Intermediate
215,DSA,Stack,73,58,3,Kinesthetic,good,0,Beginner
216,DBMS,Normalization,26,63,3,Audio-Visual,poor,1,Intermediate
217,DSA,Stack,73,75,1,Kinesthetic,good,0,Beginner
218,DSA,Queue,71,26,3,Visual,good,2,Advanced
219,CN,OSI Model,100,62,5,Visual,good,0,Beginner
220,CN,Routing,61,47,2,Visual,average,2,Advanced
221,Python,Functions,65,64,3,Kinesthetic,average,0,Beginner
222,OS,Scheduling,78,56,2,Kinesthetic,good,0,Beginner
223,DBMS,SQL,43,85,1,Kinesthetic,average,1,Intermediate
224,DSA,Queue,72,18,1,Kinesthetic,good,2,Advanced
225,OS,Processes,64,33,5,Visual,average,2,Advanced
226,DSA,Arrays,74,96,5,Kinesthetic,good,0,Beginner
227,DBMS,SQL,91,59,5,Visual,good,0,Beginner
228,DBMS,Normalization,78,75,5,Kinesthetic,good,0,Beginner
229,DSA,Linked List,63,73,4,Visual,average,1,Intermediate
230,Python,Functions,46,43,4,Audio-Visual,average,2,Advanced
231,OS,Processes,76,74,5,Visual,good,0,Beginner
232,CN,TCP/IP,53,71,2,Visual,average,1,Intermediate
233,OS,Threads,100,71,1,Audio-Visual,good,0,Beginner
234,DBMS,Joins,84,68,1,Kinesthetic,good,0,Beginner
235,CN,Routing,96,45,5,Kinesthetic,good,0,Beginner
236,DBMS,SQL,66,46,1,Audio-Visual,average,2,Advanced
237,OS,Processes,39,52,3,Audio-Visual,poor,1,Intermediate
238,CN,Routing,77,27,3,Kinesthetic,good,2,Advanced
239,CN,TCP/IP,61,39,3,Visual,average,2,Advanced
240,Python,Loops,48,25,3,Kinesthetic,average,2,Advanced
241,DSA,Arrays,61,50,3,Audio-Visual,average,2,Advanced
242,DSA,Stack,23,62,5,Audio-Visual,poor,1,Intermediate
243,DSA,Stack,95,66,1,Kinesthetic,good,0,Beginner
244,OS,Processes,68,30,1,Audio-Visual,average,2,Advanced
245,CN,Routing,46,71,1,Kinesthetic,average,1,Intermediate
246,DBMS,Normalization,40,71,1,Kinesthetic,average,1,Intermediate
247,DBMS,Normalization,65,22,2,Visual,average,2,Advanced
248,DSA,Linked List,57,64,3,Kinesthetic,average,1,Intermediate
249,Python,Loops,46,47,3,Visual,average,2,Advanced
250,OS,Threads,44,63,3,Visual,average,1,Intermediate
251,DSA,Queue,53,54,2,Visual,average,1,Intermediate
252,Python,Functions,61,50,4,Visual,average,2,Advanced
253,DSA,Arrays,99,24,1,Audio-Visual,good,2,Advanced
254,DBMS,Normalization,66,35,4,Kinesthetic,average,2,Advanced
255,DBMS,Normalization,42,26,1,Kinesthetic,average,2,Advanced
256,CN,Routing,35,53,1,Kinesthetic,poor,1,Intermediate
257,CN,Routing,36,57,4,Visual,poor,1,Intermediate
258,OS,Threads,66,63,3,Audio-Visual,average,0,Beginner
259,OS,Scheduling,42,28,4,Audio-Visual,average,2,Advanced
260,DBMS,Joins,59,47,5,Kinesthetic,average,2,Advanced
261,DBMS,Normalization,95,40,1,Visual,good,0,Beginner
262,OS,Processes,84,83,5,Audio-Visual,good,0,Beginner
263,OS,Threads,81,52,1,Audio-Visual,good,0,Beginner
264,OS,Scheduling,62,82,1,Kinesthetic,average,1,Intermediate
265,Python,Loops,41,102,4,Visual,average,1,Intermediate
266,Python,Functions,39,46,3,Kinesthetic,poor,2,Advanced
267,OS,Scheduling,64,43,2,Visual,average,2,Advanced
268,CN,OSI Model,76,54,1,Visual,good,0,Beginner
269,OS,Scheduling,37,68,1,Kinesthetic,poor,1,Intermediate
270,DBMS,SQL,95,43,4,Kinesthetic,good,0,Beginner
271,Python,Loops,57,10,4,Visual,average,2,Advanced
272,CN,OSI Model,37,107,4,Visual,poor,1,Intermediate
273,DSA,Queue,27,69,4,Audio-Visual,poor,1,Intermediate
274,Python,File Handling,52,67,3,Visual,average,1,Intermediate
275,CN,OSI Model,12,53,5,Kinesthetic,poor,1,Intermediate
276,Python,File Handling,63,86,1,Kinesthetic,average,1,Intermediate
277,DSA,Linked List,28,58,2,Visual,poor,1,Intermediate
278,DSA,Arrays,84,50,2,Visual,good,0,Beginner
279,CN,TCP/IP,62,68,3,Visual,average,1,Intermediate
280,OS,Processes,69,71,1,Kinesthetic,average,0,Beginner
281,DSA,Queue,46,62,1,Kinesthetic,average,1,Intermediate
282,DBMS,Joins,80,62,1,Audio-Visual,good,0,Beginner
283,CN,OSI Model,66,67,2,Audio-Visual,average,0,Beginner
284,DBMS,Normalization,42,36,1,Kinesthetic,average,2,Advanced
285,OS,Processes,62,59,3,Kinesthetic,average,1,Intermediate
286,Python,Functions,52,73,2,Visual,average,1,Intermediate
287,OS,Scheduling,99,46,5,Visual,good,0,Beginner
288,DSA,Queue,72,39,3,Kinesthetic,good,2,Advanced
289,DSA,Linked List,88,103,4,Audio-Visual,good,0,Beginner
290,DSA,Queue,58,53,5,Audio-Visual,average,2,Advanced
291,Python,Loops,64,56,5,Visual,average,0,Beginner
292,Python,Loops,59,50,5,Kinesthetic,average,2,Advanced
293,CN,OSI Model,42,56,5,Visual,average,1,Intermediate
294,DSA,Linked List,43,85,1,Kinesthetic,average,1,Intermediate
295,DBMS,Joins,38,25,4,Kinesthetic,poor,2,Advanced
296,OS,Scheduling,35,85,4,Kinesthetic,poor,1,Intermediate
297,DSA,Queue,58,54,2,Kinesthetic,average,2,Advanced
298,OS,Processes,68,71,3,Visual,average,0,Beginner
299,DBMS,Joins,67,54,4,Visual,average,0,Beginner
300,DBMS,Joins,84,46,3,Kinesthetic,good,0,Beginner
301,OS,Processes,95,37,1,Kinesthetic,good,0,Beginner
302,DBMS,Joins,66,88,5,Kinesthetic,average,1,Intermediate
303,DBMS,Joins,69,34,4,Kinesthetic,average,2,Advanced
304,DBMS,Joins,58,60,2,Kinesthetic,average,1,Intermediate
305,DSA,Stack,71,45,5,Kinesthetic,good,2,Advanced
306,OS,Threads,78,61,5,Kinesthetic,good,0,Beginner
307,DSA,Stack,49,62,3,Visual,average,1,Intermediate
308,DSA,Arrays,62,55,3,Visual,average,2,Advanced
309,DBMS,SQL,77,64,3,Audio-Visual,good,0,Beginner
310,CN,Routing,35,83,4,Audio-Visual,poor,1,Intermediate
311,CN,Routing,66,82,1,Visual,average,1,Intermediate
312,OS,Scheduling,55,28,5,Visual,average,2,Advanced
313,DSA,Linked List,50,55,4,Visual,average,1,Intermediate
314,OS,Processes,75,70,3,Kinesthetic,good,0,Beginner
315,CN,OSI Model,36,41,2,Visual,poor,2,Advanced
316,Python,Loops,21,46,1,Audio-Visual,poor,1,Intermediate
317,DSA,Queue,53,60,3,Kinesthetic,average,1,Intermediate
318,OS,Scheduling,58,90,1,Audio-Visual,average,1,Intermediate
319,OS,Threads,89,29,1,Audio-Visual,good,2,Advanced
320,OS,Scheduling,39,25,4,Kinesthetic,poor,2,Advanced
321,Python,File Handling,95,73,4,Kinesthetic,good,0,Beginner
322,Python,Functions,75,57,3,Audio-Visual,good,0,Beginner
323,DSA,Linked List,64,55,5,Audio-Visual,average,2,Advanced
324,OS,Processes,88,109,2,Visual,good,0,Beginner
325,Python,Functions,63,56,4,Visual,average,2,Advanced
326,Python,Loops,51,38,1,Visual,average,2,Advanced
327,DSA,Stack,47,56,1,Audio-Visual,average,1,Intermediate
328,OS,Threads,65,58,5,Audio-Visual,average,0,Beginner
329,CN,TCP/IP,41,27,1,Kinesthetic,average,2,Advanced
330,Python,Loops,56,58,2,Kinesthetic,average,1,Intermediate
331,DBMS,SQL,81,42,1,Visual,good,2,Advanced
332,Python,OOP,63,51,1,Visual,average,2,Advanced
333,DSA,Linked List,58,67,3,Audio-Visual,average,1,Intermediate
334,Python,File Handling,50,18,2,Audio-Visual,average,2,Advanced
335,CN,OSI Model,75,65,2,Visual,good,0,Beginner
336,Python,Functions,76,69,4,Audio-Visual,good,0,Beginner
337,CN,TCP/IP,76,45,4,Visual,good,2,Advanced
338,Python,Loops,45,51,5,Kinesthetic,average,1,Intermediate
339,Python,Functions,73,34,2,Kinesthetic,good,2,Advanced
340,DBMS,Normalization,40,46,2,Audio-Visual,average,2,Advanced
341,OS,Threads,71,36,3,Audio-Visual,good,2,Advanced
342,CN,TCP/IP,72,79,4,Visual,good,0,Beginner
343,DBMS,Normalization,21,56,2,Visual,poor,1,Intermediate
344,DSA,Stack,85,69,4,Visual,good,0,Beginner
345,DBMS,Normalization,54,52,4,Audio-Visual,average,2,Advanced
346,Python,Functions,59,51,3,Kinesthetic,average,2,Advanced
347,Python,Loops,43,62,1,Audio-Visual,average,1,Intermediate
348,DSA,Arrays,57,47,4,Audio-Visual,average,2,Advanced
349,DBMS,Joins,61,72,4,Audio-Visual,average,1,Intermediate
350,CN,Routing,65,62,2,Kinesthetic,average,0,Beginner
351,Python,File Handling,62,81,5,Kinesthetic,average,1,Intermediate
352,CN,TCP/IP,59,58,3,Visual,average,1,Intermediate
353,CN,TCP/IP,63,67,3,Audio-Visual,average,1,Intermediate
354,DBMS,Joins,68,43,1,Audio-Visual,average,2,Advanced
355,CN,TCP/IP,37,77,3,Kinesthetic,poor,1,Intermediate
356,OS,Threads,63,128,2,Kinesthetic,average,1,Intermediate
357,Python,OOP,61,14,4,Kinesthetic,average,2,Advanced
358,CN,Routing,32,56,1,Visual,poor,1,Intermediate
359,OS,Processes,27,37,2,Visual,poor,2,Advanced
360,DSA,Stack,91,65,2,Kinesthetic,good,0,Beginner
361,Python,Loops,65,60,2,Visual,average,0,Beginner
362,DBMS,Joins,57,69,1,Kinesthetic,average,1,Intermediate
363,CN,Routing,55,79,1,Audio-Visual,average,1,Intermediate
364,DBMS,Joins,69,23,1,Audio-Visual,average,2,Advanced
365,DSA,Queue,49,47,5,Audio-Visual,average,2,Advanced
366,CN,OSI Model,69,37,5,Audio-Visual,average,2,Advanced
367,DSA,Stack,59,76,5,Audio-Visual,average,1,Intermediate
368,DBMS,SQL,56,47,5,Kinesthetic,average,2,Advanced
369,OS,Processes,79,76,4,Visual,good,0,Beginner
370,Python,File Handling,55,77,2,Audio-Visual,average,1,Intermediate
371,Python,File Handling,80,43,5,Kinesthetic,good,2,Advanced
372,OS,Threads,89,114,2,Audio-Visual,good,0,Beginner
373,Python,OOP,66,101,1,Kinesthetic,average,1,Intermediate
374,CN,OSI Model,67,25,3,Kinesthetic,average,2,Advanced
375,Python,Loops,59,62,1,Audio-Visual,average,1,Intermediate
376,CN,TCP/IP,48,47,3,Visual,average,2,Advanced
377,DSA,Stack,85,83,2,Audio-Visual,good,0,Beginner
378,OS,Processes,89,75,5,Audio-Visual,good,0,Beginner
379,DSA,Stack,70,99,4,Kinesthetic,good,0,Beginner
380,Python,OOP,71,58,3,Visual,good,0,Beginner
381,OS,Threads,95,68,4,Audio-Visual,good,0,Beginner
382,Python,Functions,73,49,5,Kinesthetic,good,2,Advanced
383,OS,Scheduling,66,49,4,Visual,average,2,Advanced
384,Python,File Handling,48,79,3,Visual,average,1,Intermediate
385,DBMS,Joins,83,73,3,Audio-Visual,good,0,Beginner
386,OS,Processes,76,95,2,Kinesthetic,good,0,Beginner
387,CN,OSI Model,69,77,2,Kinesthetic,average,0,Beginner
388,DBMS,SQL,69,64,4,Visual,average,0,Beginner
389,DSA,Queue,86,43,4,Visual,good,0,Beginner
390,CN,OSI Model,52,69,3,Audio-Visual,average,1,Intermediate
391,Python,Loops,86,22,2,Visual,good,2,Advanced
392,DBMS,Normalization,13,99,5,Kinesthetic,poor,1,Intermediate
393,DBMS,Normalization,44,60,3,Visual,average,1,Intermediate
394,Python,Functions,52,109,1,Visual,average,1,Intermediate
395,OS,Processes,63,29,2,Audio-Visual,average,2,Advanced
396,CN,TCP/IP,41,59,4,Visual,average,1,Intermediate
397,DSA,Queue,100,33,5,Kinesthetic,good,0,Beginner
398,Python,Functions,64,71,3,Kinesthetic,average,1,Intermediate
399,DBMS,Normalization,72,32,3,Kinesthetic,good,2,Advanced
400,Python,Functions,53,70,2,Audio-Visual,average,1,Intermediate
401,DBMS,Normalization,60,46,1,Audio-Visual,average,2,Advanced
402,DSA,Stack,62,52,2,Visual,average,2,Advanced
403,CN,Routing,84,38,5,Visual,good,2,Advanced
404,Python,Functions,74,82,1,Visual,good,0,Beginner
405,Python,File Handling,64,81,1,Visual,average,1,Intermediate
406,DBMS,Normalization,66,66,1,Kinesthetic,average,0,Beginner
407,DSA,Queue,68,60,3,Audio-Visual,average,0,Beginner
408,Python,OOP,75,39,2,Audio-Visual,good,2,Advanced
409,CN,OSI Model,61,45,3,Visual,average,2,Advanced
410,Python,Functions,72,45,5,Kinesthetic,good,2,Advanced
411,CN,Routing,39,50,3,Visual,poor,1,Intermediate
412,OS,Scheduling,92,49,4,Kinesthetic,good,0,Beginner
413,CN,Routing,84,26,1,Visual,good,2,Advanced
414,Python,Functions,73,10,2,Kinesthetic,good,2,Advanced
415,OS,Threads,50,60,3,Visual,average,1,Intermediate
416,DSA,Linked List,65,57,2,Audio-Visual,average,0,Beginner
417,DSA,Linked List,34,56,3,Visual,poor,1,Intermediate
418,DSA,Stack,62,63,4,Audio-Visual,average,1,Intermediate
419,DBMS,Normalization,78,34,2,Audio-Visual,good,2,Advanced
420,OS,Scheduling,43,47,5,Visual,average,2,Advanced
421,DBMS,SQL,53,33,3,Kinesthetic,average,2,Advanced
422,DBMS,SQL,38,38,3,Audio-Visual,poor,2,Advanced
423,DBMS,Joins,39,79,3,Audio-Visual,poor,1,Intermediate
424,DBMS,Joins,79,62,1,Kinesthetic,good,0,Beginner
425,DSA,Arrays,66,81,5,Kinesthetic,average,1,Intermediate
426,DSA,Queue,57,33,3,Kinesthetic,average,2,Advanced
427,Python,OOP,69,69,1,Audio-Visual,average,0,Beginner
428,Python,OOP,65,69,5,Kinesthetic,average,0,Beginner
429,DBMS,Joins,56,46,3,Kinesthetic,average,2,Advanced
430,OS,Processes,70,54,4,Visual,good,0,Beginner
