student_id,subject,topic,score,time_spent,attempts,learning_style,quiz_performance
356,OS,Threads,63,128,2,Kinesthetic,average
357,Python,OOP,61,14,4,Kinesthetic,average
358,CN,Routing,32,56,1,Visual,poor
359,OS,Processes,27,37,2,Visual,poor
360,DSA,Stack,91,65,2,Kinesthetic,good
361,Python,Loops,65,60,2,Visual,average
362,DBMS,Joins,57,69,1,Kinesthetic,average
363,CN,Routing,55,79,1,Audio-Visual,average
364,DBMS,Joins,69,23,1,Audio-Visual,average
365,DSA,Queue,49,47,5,Audio-Visual,average
366,CN,OSI Model,69,37,5,Audio-Visual,average
367,DSA,Stack,59,76,5,Audio-Visual,average
368,DBMS,SQL,56,47,5,Kinesthetic,average
369,OS,Processes,79,76,4,Visual,good
370,Python,File Handling,55,77,2,Audio-Visual,average
371,Python,File Handling,80,43,5,Kinesthetic,good
372,OS,Threads,89,114,2,Audio-Visual,good
373,Python,OOP,66,101,1,Kinesthetic,average
374,CN,OSI Model,67,25,3,Kinesthetic,average
375,Python,Loops,59,62,1,Audio-Visual,average
376,CN,TCP/IP,48,47,3,Visual,average
377,DSA,Stack,85,83,2,Audio-Visual,good
378,OS,Processes,89,75,5,Audio-Visual,good
379,DSA,Stack,70,99,4,Kinesthetic,good
380,Python,OOP,71,58,3,Visual,good
381,OS,Threads,95,68,4,Audio-Visual,good
382,Python,Functions,73,49,5,Kinesthetic,good
383,OS,Scheduling,66,49,4,Visual,average
384,Python,File Handling,48,79,3,Visual,average
385,DBMS,Joins,83,73,3,Audio-Visual,good
386,OS,Processes,76,95,2,Kinesthetic,good
387,CN,OSI Model,69,77,2,Kinesthetic,average
388,DBMS,SQL,69,64,4,Visual,average
389,DSA,Queue,86,43,4,Visual,good
390,CN,OSI Model,52,69,3,Audio-Visual,average
391,Python,Loops,86,22,2,Visual,good
392,DBMS,Normalization,13,99,5,Kinesthetic,poor
393,DBMS,Normalization,44,60,3,Visual,average
394,Python,Functions,52,109,1,Visual,average
395,OS,Processes,63,29,2,Audio-Visual,average
396,CN,TCP/IP,41,59,4,Visual,average
397,DSA,Queue,100,33,5,Kinesthetic,good
398,Python,Functions,64,71,3,Kinesthetic,average
399,DBMS,Normalization,72,32,3,Kinesthetic,good
400,Python,Functions,53,70,2,Audio-Visual,average
401,DBMS,Normalization,60,46,1,Audio-Visual,average
402,DSA,Stack,62,52,2,Visual,average
403,CN,Routing,84,38,5,Visual,good
404,Python,Functions,74,82,1,Visual,good
405,Python,File Handling,64,81,1,Visual,average
406,DBMS,Normalization,66,66,1,Kinesthetic,average
407,DSA,Queue,68,60,3,Audio-Visual,average
408,Python,OOP,75,39,2,Audio-Visual,good
409,CN,OSI Model,61,45,3,Visual,average
410,Python,Functions,72,45,5,Kinesthetic,good
411,CN,Routing,39,50,3,Visual,poor
412,OS,Scheduling,92,49,4,Kinesthetic,good
413,CN,Routing,84,26,1,Visual,good
414,Python,Functions,73,10,2,Kinesthetic,good
415,OS,Threads,50,60,3,Visual,average
416,DSA,Linked List,65,57,2,Audio-Visual,average
417,DSA,Linked List,34,56,3,Visual,poor
418,DSA,Stack,62,63,4,Audio-Visual,average
419,DBMS,Normalization,78,34,2,Audio-Visual,good
420,OS,Scheduling,43,47,5,Visual,average
421,DBMS,SQL,53,33,3,Kinesthetic,average
422,DBMS,SQL,38,38,3,Audio-Visual,poor
423,DBMS,Joins,39,79,3,Audio-Visual,poor
424,DBMS,Joins,79,62,1,Kinesthetic,good
425,DSA,Arrays,66,81,5,Kinesthetic,average
426,DSA,Queue,57,33,3,Kinesthetic,average
427,Python,OOP,69,69,1,Audio-Visual,average
428,Python,OOP,65,69,5,Kinesthetic,average
429,DBMS,Joins,56,46,3,Kinesthetic,average
430,OS,Processes,70,54,4,Visual,good
431,CN,Routing,59,36,3,Kinesthetic,average
432,CN,Routing,47,38,3,Visual,average
433,DBMS,SQL,43,99,4,Audio-Visual,average
434,DSA,Queue,67,85,4,Visual,average
435,DSA,Linked List,91,60,1,Visual,good
436,DBMS,Joins,54,56,5,Visual,average
437,CN,Routing,78,87,4,Audio-Visual,good
438,CN,OSI Model,50,50,2,Visual,average
439,OS,Scheduling,65,50,2,Visual,average
440,Python,Loops,79,63,3,Kinesthetic,good
441,OS,Processes,71,49,3,Kinesthetic,good
442,OS,Scheduling,38,61,3,Visual,poor
443,DBMS,Normalization,83,61,4,Kinesthetic,good
444,CN,OSI Model,61,65,2,Visual,average
445,DSA,Queue,70,72,3,Audio-Visual,good
446,DSA,Arrays,80,39,1,Audio-Visual,good
447,DSA,Queue,55,80,5,Audio-Visual,average
448,DBMS,SQL,79,99,5,Visual,good
449,DBMS,Joins,76,38,1,Kinesthetic,good
450,DSA,Queue,48,44,2,Kinesthetic,average
451,CN,Routing,83,51,2,Kinesthetic,good
452,DSA,Stack,44,75,5,Visual,average
453,DBMS,Normalization,61,62,1,Audio-Visual,average
454,CN,TCP/IP,58,72,3,Kinesthetic,average
455,Python,File Handling,58,43,5,Visual,average
456,DBMS,Normalization,95,66,1,Visual,good
457,OS,Scheduling,39,15,2,Visual,poor
458,CN,TCP/IP,74,70,3,Audio-Visual,good
459,DSA,Linked List,56,64,1,Visual,average
460,Python,Functions,43,73,1,Audio-Visual,average
461,DSA,Queue,78,43,1,Visual,good
462,CN,TCP/IP,67,45,3,Kinesthetic,average
463,CN,TCP/IP,83,66,5,Visual,good
464,OS,Threads,65,26,4,Audio-Visual,average
465,DBMS,Normalization,68,46,2,Audio-Visual,average
466,Python,OOP,67,32,2,Kinesthetic,average
467,CN,TCP/IP,57,75,2,Visual,average
468,OS,Processes,100,70,1,Kinesthetic,good
469,OS,Scheduling,66,39,2,Audio-Visual,average
470,DBMS,SQL,100,85,2,Audio-Visual,good
471,CN,TCP/IP,47,66,2,Kinesthetic,average
472,Python,Loops,75,32,4,Visual,good
473,OS,Threads,99,51,5,Kinesthetic,good
474,DSA,Stack,66,57,5,Kinesthetic,average
475,CN,TCP/IP,54,15,1,Audio-Visual,average
476,DSA,Queue,27,51,3,Visual,poor
477,DSA,Queue,80,80,2,Visual,good
478,CN,Routing,78,102,4,Visual,good
479,Python,File Handling,73,66,1,Audio-Visual,good
480,Python,File Handling,52,56,5,Kinesthetic,average
481,OS,Processes,76,56,5,Visual,good
482,OS,Processes,68,77,1,Audio-Visual,average
483,DSA,Stack,87,20,1,Visual,good
484,OS,Processes,40,59,3,Audio-Visual,average
485,Python,OOP,97,44,4,Kinesthetic,good
486,CN,Routing,60,55,1,Visual,average
487,DBMS,Joins,55,93,4,Kinesthetic,average
488,Python,Loops,30,50,5,Visual,poor
489,Python,Loops,72,86,1,Kinesthetic,good
490,OS,Scheduling,91,72,1,Audio-Visual,good
491,Python,Loops,39,107,3,Kinesthetic,poor
492,DSA,Queue,36,77,2,Visual,poor
493,Python,Functions,66,28,1,Visual,average
494,OS,Processes,71,57,5,Kinesthetic,good
495,CN,OSI Model,40,61,1,Audio-Visual,average
496,CN,OSI Model,100,37,1,Audio-Visual,good
497,DSA,Stack,42,54,4,Visual,average
498,DSA,Linked List,61,27,1,Kinesthetic,average
499,CN,OSI Model,53,55,1,Audio-Visual,average
500,OS,Threads,47,92,5,Visual,average
501,DBMS,Normalization,73,68,3,Audio-Visual,good
502,DBMS,Normalization,53,74,4,Kinesthetic,average
503,OS,Threads,50,67,2,Visual,average
504,CN,TCP/IP,58,74,1,Visual,average
505,DSA,Stack,46,61,2,Kinesthetic,average
506,Python,Functions,73,75,2,Visual,good
507,OS,Processes,65,83,4,Audio-Visual,average
508,DBMS,SQL,81,90,1,Visual,good
509,CN,OSI Model,36,58,2,Visual,poor
510,OS,Scheduling,43,72,1,Visual,average
511,OS,Threads,51,47,2,Audio-Visual,average
512,DBMS,SQL,34,76,2,Audio-Visual,poor
513,Python,File Handling,44,68,5,Audio-Visual,average
514,CN,TCP/IP,100,67,1,Audio-Visual,good
515,CN,Routing,58,63,2,Kinesthetic,average
516,OS,Scheduling,57,94,1,Visual,average
517,DBMS,Normalization,40,115,2,Visual,average
518,CN,TCP/IP,71,78,1,Kinesthetic,good
519,DBMS,Normalization,100,48,1,Audio-Visual,good
520,OS,Scheduling,83,33,5,Kinesthetic,good
521,DSA,Arrays,94,60,2,Visual,good
522,Python,File Handling,47,79,5,Visual,average
523,DBMS,Normalization,54,49,5,Visual,average
524,CN,TCP/IP,52,65,4,Kinesthetic,average
525,DSA,Stack,80,28,3,Visual,good
526,DSA,Linked List,56,45,2,Visual,average
527,OS,Scheduling,64,58,1,Visual,average
528,OS,Processes,62,53,3,Visual,average
529,CN,Routing,71,85,2,Audio-Visual,good
530,DBMS,SQL,56,50,1,Visual,average
531,OS,Threads,90,66,3,Audio-Visual,good
532,DSA,Linked List,68,62,4,Kinesthetic,average
533,OS,Processes,81,45,2,Audio-Visual,good
534,Python,File Handling,78,55,3,Visual,good
535,CN,Routing,45,74,5,Audio-Visual,average
536,DSA,Stack,45,74,3,Audio-Visual,average
537,DSA,Stack,88,42,4,Visual,good
538,DBMS,Joins,82,81,1,Kinesthetic,good
539,DSA,Queue,68,56,2,Visual,average
540,Python,OOP,52,72,5,Audio-Visual,average
541,DSA,Arrays,50,50,5,Visual,average
542,DBMS,Joins,73,17,3,Visual,good
543,OS,Scheduling,44,106,5,Visual,average
544,CN,Routing,71,63,5,Kinesthetic,good
545,Python,Loops,55,77,4,Audio-Visual,average
546,CN,OSI Model,55,32,2,Audio-Visual,average
547,CN,TCP/IP,97,71,5,Audio-Visual,good
548,Python,Functions,100,44,1,Audio-Visual,good
549,OS,Processes,70,68,3,Visual,good
550,CN,TCP/IP,66,76,4,Visual,average
551,CN,OSI Model,43,57,2,Visual,average
552,CN,Routing,36,83,4,Kinesthetic,poor
553,OS,Processes,72,61,5,Visual,good
554,DSA,Arrays,31,57,3,Audio-Visual,poor
555,OS,Scheduling,77,72,5,Visual,good
556,OS,Processes,88,60,2,Kinesthetic,good
557,CN,OSI Model,92,47,2,Visual,good
558,DBMS,Joins,51,101,5,Kinesthetic,average
559,Python,OOP,44,83,2,Kinesthetic,average
