student_id,subject,topic,score,time_spent,attempts,learning_style,quiz_performance,learning_style_encoded,cluster,learner_group
333,DSA,Linked List,58,67,3,Audio-Visual,average,1,2,Consistent Learner
334,Python,File Handling,50,18,2,Audio-Visual,average,1,1,Struggling Learner
335,CN,OSI Model,75,65,2,Visual,good,0,1,Struggling Learner
336,Python,Functions,76,69,4,Audio-Visual,good,1,2,Consistent Learner
337,CN,TCP/IP,76,45,4,Visual,good,0,2,Consistent Learner
338,Python,Loops,45,51,5,Kinesthetic,average,2,2,Consistent Learner
339,Python,Functions,73,34,2,Kinesthetic,good,2,1,Struggling Learner
340,DBMS,Normalization,40,46,2,Audio-Visual,average,1,1,Struggling Learner
341,OS,Threads,71,36,3,Audio-Visual,good,1,2,Consistent Learner
342,CN,TCP/IP,72,79,4,Visual,good,0,2,Consistent Learner
343,DBMS,Normalization,21,56,2,Visual,poor,0,1,Struggling Learner
344,DSA,Stack,85,69,4,Visual,good,0,2,Consistent Learner
345,DBMS,Normalization,54,52,4,Audio-Visual,average,1,2,Consistent Learner
346,Python,Functions,59,51,3,Kinesthetic,average,2,2,Consistent Learner
347,Python,Loops,43,62,1,Audio-Visual,average,1,1,Struggling Learner
348,DSA,Arrays,57,47,4,Audio-Visual,average,1,2,Consistent Learner
349,DBMS,Joins,61,72,4,Audio-Visual,average,1,2,Consistent Learner
350,CN,Routing,65,62,2,Kinesthetic,average,2,1,Struggling Learner
351,Python,File Handling,62,81,5,Kinesthetic,average,2,2,Consistent Learner
352,CN,TCP/IP,59,58,3,Visual,average,0,1,Struggling Learner
353,CN,TCP/IP,63,67,3,Audio-Visual,average,1,2,Consistent Learner
354,DBMS,Joins,68,43,1,Audio-Visual,average,1,1,Struggling Learner
355,CN,TCP/IP,37,77,3,Kinesthetic,poor,2,2,Consistent Learner
356,OS,Threads,63,128,2,Kinesthetic,average,2,0,Fast Learner
357,Python,OOP,61,14,4,Kinesthetic,average,2,2,Consistent Learner
358,CN,Routing,32,56,1,Visual,poor,0,1,Struggling Learner
359,OS,Processes,27,37,2,Visual,poor,0,1,Struggling Learner
360,DSA,Stack,91,65,2,Kinesthetic,good,2,1,Struggling Learner
361,Python,Loops,65,60,2,Visual,average,0,1,Struggling Learner
362,DBMS,Joins,57,69,1,Kinesthetic,average,2,1,Struggling Learner
363,CN,Routing,55,79,1,Audio-Visual,average,1,1,Struggling Learner
364,DBMS,Joins,69,23,1,Audio-Visual,average,1,1,Struggling Learner
365,DSA,Queue,49,47,5,Audio-Visual,average,1,2,Consistent Learner
366,CN,OSI Model,69,37,5,Audio-Visual,average,1,2,Consistent Learner
367,DSA,Stack,59,76,5,Audio-Visual,average,1,2,Consistent Learner
368,DBMS,SQL,56,47,5,Kinesthetic,average,2,2,Consistent Learner
369,OS,Processes,79,76,4,Visual,good,0,2,Consistent Learner
370,Python,File Handling,55,77,2,Audio-Visual,average,1,1,Struggling Learner
371,Python,File Handling,80,43,5,Kinesthetic,good,2,2,Consistent Learner
372,OS,Threads,89,114,2,Audio-Visual,good,1,0,Fast Learner
373,Python,OOP,66,101,1,Kinesthetic,average,2,0,Fast Learner
374,CN,OSI Model,67,25,3,Kinesthetic,average,2,2,Consistent Learner
375,Python,Loops,59,62,1,Audio-Visual,average,1,1,Struggling Learner
